riskyGain 12.00, riskyLoss -8.57, safe, 0.00, loc, 1, choice, 1, outcome, 12.00, RT, 0.70, ISI, 1, ITI, 3, trial, 62, block, 3, triBlock, 12
riskyGain 8.65, riskyLoss 0.00, safe, 3.68, loc, 2, choice, 1, outcome, 8.65, RT, 1.90, ISI, 1, ITI, 2, trial, 63, block, 3, triBlock, 13
riskyGain 5.00, riskyLoss -1.79, safe, 0.00, loc, 1, choice, 1, outcome, -1.79, RT, 0.82, ISI, 1, ITI, 3, trial, 64, block, 3, triBlock, 14
riskyGain 8.03, riskyLoss 0.00, safe, 3.99, loc, 1, choice, 1, outcome, 0.00, RT, 1.24, ISI, 1, ITI, 2, trial, 65, block, 3, triBlock, 15
riskyGain 8.00, riskyLoss -2.00, safe, 0.00, loc, 1, choice, 1, outcome, 8.00, RT, 0.65, ISI, 1, ITI, 2, trial, 66, block, 3, triBlock, 16
riskyGain 8.00, riskyLoss -0.80, safe, 0.00, loc, 2, choice, 1, outcome, -0.80, RT, 0.49, ISI, 1, ITI, 2, trial, 67, block, 3, triBlock, 17
riskyGain 10.00, riskyLoss -11.11, safe, 0.00, loc, 2, choice, 1, outcome, -11.11, RT, 0.72, ISI, 1, ITI, 3, trial, 68, block, 3, triBlock, 18
riskyGain 10.00, riskyLoss -6.67, safe, 0.00, loc, 1, choice, 1, outcome, -6.67, RT, 0.56, ISI, 1, ITI, 2, trial, 69, block, 3, triBlock, 19
riskyGain 24.26, riskyLoss 0.00, safe, 11.87, loc, 2, choice, 1, outcome, 0.00, RT, 0.34, ISI, 1, ITI, 3, trial, 70, block, 3, triBlock, 20
riskyGain 16.29, riskyLoss 0.00, safe, 7.85, loc, 2, choice, NaN, outcome, NaN, RT, NaN, ISI, 1, ITI, 3, trial, 71, block, 3, triBlock, 21
riskyGain 26.20, riskyLoss 0.00, safe, 10.90, loc, 1, choice, 0, outcome, 10.90, RT, 0.52, ISI, 1, ITI, 3, trial, 72, block, 3, triBlock, 22
riskyGain 8.00, riskyLoss -5.71, safe, 0.00, loc, 2, choice, 0, outcome, 0.00, RT, 0.47, ISI, 1, ITI, 1, trial, 73, block, 3, triBlock, 23
riskyGain 12.00, riskyLoss -2.31, safe, 0.00, loc, 1, choice, 1, outcome, 12.00, RT, 0.73, ISI, 1, ITI, 2, trial, 74, block, 3, triBlock, 24
riskyGain 8.00, riskyLoss -5.00, safe, 0.00, loc, 2, choice, 1, outcome, 8.00, RT, 0.60, ISI, 1, ITI, 3, trial, 75, block, 3, triBlock, 25
riskyGain 10.00, riskyLoss -7.69, safe, 0.00, loc, 2, choice, 0, outcome, 0.00, RT, 0.37, ISI, 1, ITI, 1, trial, 76, block, 4, triBlock, 1
riskyGain 5.00, riskyLoss -0.78, safe, 0.00, loc, 2, choice, 1, outcome, 5.00, RT, 0.54, ISI, 1, ITI, 3, trial, 77, block, 4, triBlock, 2
riskyGain 5.00, riskyLoss -7.14, safe, 0.00, loc, 2, choice, 0, outcome, 0.00, RT, 0.39, ISI, 1, ITI, 2, trial, 78, block, 4, triBlock, 3
riskyGain 8.00, riskyLoss -3.33, safe, 0.00, loc, 2, choice, NaN, outcome, NaN, RT, NaN, ISI, 1, ITI, 2, trial, 79, block, 4, triBlock, 4
riskyGain 17.65, riskyLoss 0.00, safe, 7.17, loc, 2, choice, 1, outcome, 17.65, RT, 0.57, ISI, 1, ITI, 1, trial, 80, block, 4, triBlock, 5
riskyGain 15.95, riskyLoss 0.00, safe, 8.03, loc, 1, choice, 1, outcome, 0.00, RT, 0.91, ISI, 1, ITI, 1, trial, 81, block, 4, triBlock, 6
riskyGain 5.00, riskyLoss -2.27, safe, 0.00, loc, 1, choice, 0, outcome, 0.00, RT, 0.65, ISI, 1, ITI, 2, trial, 82, block, 4, triBlock, 7
riskyGain 7.00, riskyLoss -6.36, safe, 0.00, loc, 1, choice, 0, outcome, 0.00, RT, 1.15, ISI, 1, ITI, 3, trial, 83, block, 4, triBlock, 8
riskyGain 2.00, riskyLoss -1.82, safe, 0.00, loc, 1, choice, 1, outcome, -1.82, RT, 0.35, ISI, 1, ITI, 3, trial, 84, block, 4, triBlock, 9
riskyGain 7.73, riskyLoss 0.00, safe, 4.14, loc, 1, choice, 0, outcome, 4.14, RT, 0.32, ISI, 1, ITI, 3, trial, 85, block, 4, triBlock, 10
riskyGain 8.00, riskyLoss -2.35, safe, 0.00, loc, 1, choice, 1, outcome, -2.35, RT, 0.42, ISI, 1, ITI, 2, trial, 86, block, 4, triBlock, 11
